b,h,h0,ah,l,fc,ft,fy1,As1,Vu
300,1000,925,2.88,5400,32.604,2.94758141,550,2800,206.86
300,1000,925,2.88,5400,32.604,2.94758141,483,2800,225.86
300,1000,925,2.88,5400,30.096,2.82063344,550,2800,251.86
300,1000,925,2.88,5400,67.688238,3.808541196,550,2800,219.86
300,1000,925,2.88,5400,32.604,2.94758141,483,2800,237.86
152.4,304.8,254,3.3,1828.8,26.3472,2.621626267,469,380,42.36
152.4,304.8,254,4.3,2336.8,16.2624,2.010566184,452,380,34.94
152.4,304.8,254,3.3,1828.8,22.3168,2.392843962,314,1289,59.49
177.8,304.8,269.9,4,3238.5,17.3008,2.080191055,434,570,43.72
177.8,304.8,273.1,4,3276.6,33.44,2.988912974,434,451,44.7
177.8,304.8,269.9,4,3238.5,33.44,2.988912974,434,570,47.59
177.8,304.8,268.3,4,3219.5,33.44,2.988912974,434,1164,63.38
177.8,304.8,269.9,4,3238.5,50.24460581,3.518850442,434,570,57.38
177.8,304.8,268.3,4,3219.5,50.24460581,3.518850442,434,1164,65.61
177.8,304.8,266.7,4,3200.4,50.24460581,3.518850442,434,1520,74.86
177.8,304.8,268.3,4,3219.5,58.16973009,3.675885528,434,776,62.27
177.8,304.8,268.3,4,3219.5,58.16973009,3.675885528,434,1164,66.28
177.8,304.8,268.3,6,4829.2,48.98930335,3.489910634,434,1164,60.05
152.4,304.8,252.5,3.02,2438.4,30.6768,2.850442945,283,1290,80.87
152.4,304.8,252.5,4.02,2946.4,23.408,2.456502397,310,1290,54.3
152.4,304.8,252.5,5.03,3454.4,21.56,2.347867793,303,1290,52.03
152.4,304.8,252.5,6.04,3962.4,23.3464,2.452944825,331,1290,52.21
152.4,304.8,252.5,2.87,1524,30.6768,2.850442945,283,1290,92.96
152.4,304.8,252.5,3.87,2032,23.408,2.456502397,310,1290,62.41
101.6,241.3,209.6,3.39,1625.6,24.8512,2.538679481,276,1013,29.05
101.6,241.3,209.6,3.39,1625.6,29.348,2.781858291,276,1013,33.63
101.6,241.3,209.6,3.39,1625.6,29.2336,2.775888946,276,1013,31.63
101.6,241.3,209.6,3.39,1625.6,37.23558937,3.144472073,276,1013,33.85
101.6,241.3,209.6,3.39,1625.6,32.3488,2.934869659,276,1013,35.58
177.8,241.3,209.6,3.39,1625.6,26.1712,2.61197985,276,1013,48.71
177.8,241.3,209.6,3.39,1625.6,24.7368,2.532245203,276,1013,52.04
108,190.5,177.8,4,2133.6,17.3008,2.080191055,276,570,23.75
108,190.5,177.8,4,2133.6,17.2392,2.076114166,276,570,23.93
108,190.5,177.8,4,2133.6,14.6432,1.897870691,276,570,21.48
101.6,241.3,209.6,3.39,1625.6,29.8408,2.80745353,276,1013,35.45
101.6,241.3,209.6,3.39,1625.6,28.0192,2.711861306,276,1013,31.58
101.6,241.3,209.6,3.39,1625.6,33.44,2.988912974,276,1013,39.41
101.6,241.3,209.6,3.39,1625.6,35.85919897,3.090288511,276,1013,43.86
101.6,241.3,209.6,3.39,1625.6,34.21261544,3.02313172,276,1013,38.3
101.6,241.3,209.6,3.39,1625.6,28.0192,2.711861306,276,1013,50.13
101.6,241.3,209.6,3.39,1625.6,28.0192,2.711861306,276,1013,38.79
108,190.5,158.8,4.48,2133.6,18.1632,2.136597044,276,570,27.36
108,190.5,158.8,4.48,2133.6,18.9112,2.184551666,276,570,29.8
108,190.5,158.8,4.48,2133.6,18.568,2.162656986,276,570,27.36
100.8,209.6,189,3.23,1524,24.4992,2.518838768,310,396,22.24
200,298,260,4.23,2500,83.41037853,3.886655082,652,1608,108
200,238,200,4,1900,84.07609109,3.885327669,686,1206,109.13
400,155,127.5,2.5,1137.5,28.5824,2.741707394,444,1000,111.9
400,155,127.5,2.5,1137.5,28.5824,2.741707394,444,600,84.6
400,220,190,2.5,1450,28.5824,2.741707394,433,1500,122.7
400,220,190,2.5,1450,28.5824,2.741707394,433,900,103.6
400,90,65,2.5,825,45.92952552,3.414449675,648,500,77.4
400,90,65,2.5,825,45.92952552,3.414449675,648,300,52.1
400,155,127.5,2.5,1137.5,45.92952552,3.414449675,444,1000,105
400,155,127.5,2.5,1137.5,45.92952552,3.414449675,444,600,76.7
400,220,190,2.5,1450,45.92952552,3.414449675,433,1500,135.3
400,220,190,2.5,1450,45.92952552,3.414449675,433,900,105.9
300,200,153,3.73,1540,63.83467011,3.762094172,660,616,70.23
300,200,152,3.75,1540,64.38329614,3.769311709,517,1005,75.24
300,200,146,3.9,1540,65.62142512,3.784864206,487,1847,98.55
300,400,348,3.53,3260,64.40955563,3.769652154,469,1963,191.05
300,400,328,3.75,3260,65.81688201,3.787225964,487,3695,230.26
300,800,718,3.66,6860,65.63172757,3.78498933,487,3695,258.48
300,800,746,3.53,6860,65.96051204,3.788945208,487,1847,201.42
300,800,690,3.81,6860,65.81688201,3.787225964,487,7389,380.88
300,200,153,3.73,1540,73.48599221,3.859320891,660,616,74.36
300,200,152,3.75,1540,73.48599221,3.859320891,517,1005,90.29
300,200,146,3.9,1540,73.48599221,3.859320891,487,1847,122.2
163,233,191.8,3.65,2000,61.83953718,3.734163233,630,678,83.09
158,235,193.9,3.61,2000,61.83953718,3.734163233,630,678,77.08
157,232,191.3,3.66,2000,36.91180808,3.131883191,630,678,59.57
155,235,193.9,3.61,2000,36.91180808,3.131883191,630,678,63.57
155,235,193.9,3.61,2000,61.00481831,3.721694426,630,678,69.57
158,234,192.8,3.63,2000,61.00481831,3.721694426,630,678,76.08
156,234,192.8,3.63,2000,47.97034083,3.465565274,443,678,71.57
155,237,196.1,3.57,2000,47.97034083,3.465565274,443,678,70.07
155,235,193.9,3.61,2000,52.38471197,3.565566594,443,678,77.07
156,236,195,3.59,2000,52.38471197,3.565566594,443,678,74.57
262,240,208,2.64,1350,64.97935871,3.776926493,632,402,76.1
283,240,211,2.61,1350,64.43580443,3.769992003,604,628,104.15
337,240,208,2.64,1350,61.21444783,3.724869278,630,402,89.28
100,400,370,3.39,2560,25.69975467,2.585995471,400,628,44.97
100,400,372,3.37,2560,19.92132267,2.247976753,460,402,41.42
152.4,304.8,266.7,2.48,1981.2,21.3312,2.334131021,333,1013,81.16
152.4,304.8,266.7,2.48,1981.2,23.1792,2.443267206,333,1013,58.45
152.4,304.8,266.7,2.48,1981.2,31.02,2.867938333,333,1013,91.12
152.4,304.8,266.7,2.48,1981.2,45.5814357,3.40541121,333,2027,128.04
152.4,304.8,266.7,2.48,1981.2,55.01726399,3.618611828,333,2027,166.2
152.4,304.8,266.7,4.95,3048,25.8896,2.596484651,611,507,43.77
152.4,304.8,266.7,4.95,3048,24.7896,2.53521653,611,507,40.99
152.4,304.8,266.7,2.48,1981.2,25.1944,2.557902777,334,507,46.77
151.6,152.4,139.7,5.35,1951.7,22.0792,2.378798499,388,548,32
152.4,152.4,141.2,2.41,1136.9,22.7744,2.419706224,381,561,51.44
151.4,152.4,137.2,5.93,2082.8,23.408,2.456502397,392,568,29.11
152.4,152.4,138.4,3.93,1544.3,20.7592,2.299496006,392,568,28.89
153.2,152.4,137.4,3.46,1408.7,22.7744,2.419706224,403,561,28
153.2,152.4,138.7,5.39,1951.7,22.0792,2.378798499,375,555,31.56
152.4,152.4,138.4,3.44,1408.7,22.7744,2.419706224,417,561,28.91
154.4,152.4,139.7,2.67,1202.9,22.2552,2.389209034,392,568,50.15
154.9,152.4,138.7,2.93,1271,22.3696,2.395956023,392,568,39.3
153.4,304.8,274.3,5.93,4169.7,23.0032,2.43304624,343,1161,51.15
156,304.8,271.3,3,2542,22.9504,2.429973094,343,1161,64.94
151.1,304.8,271,4,3084.6,22.9504,2.429973094,342,1161,55.38
154.4,304.8,268.7,6.06,4169.7,22.9504,2.429973094,364,1123,50.95
154.9,304.8,272.8,6.46,4440.9,25.3088,2.564284321,372,1123,53.8
153.4,304.8,275.1,2.47,2270.8,21.1552,2.3235191,338,1161,72.72
153.2,304.8,275.1,3.94,3084.6,21.1552,2.3235191,335,1161,56.27
152.4,304.8,276.4,2.95,2545.1,22.7744,2.419706224,366,1129,62.49
153.2,304.8,274.6,2.47,2273.3,21.912,2.368873845,366,1129,76.28
152.4,304.8,271.8,2.5,2273.3,21.912,2.368873845,366,1129,77.17
154.4,609.6,542.8,4,5356.4,21.912,2.368873845,352,2323,93.19
156.2,609.6,540.5,8.03,9696.7,21.5072,2.344703614,352,2323,78.95
149.6,609.6,552.5,2.46,3733.8,22.5456,2.406305762,374,2329,112.31
156.2,609.6,541.3,6.01,7526.5,22.0792,2.378798499,352,2323,90.74
154.9,609.6,544.1,2.99,4271.3,22.8888,2.426383733,373,2245,102.08
152.4,609.6,523.2,3.12,4277.4,22.7744,2.419706224,366,2265,107.64
152.4,609.6,524,3.11,4277.4,22.8272,2.422790022,367,2265,107.86
152.4,609.6,517.7,2.63,3733.8,25.7136,2.586761618,372,2265,114.76
153.2,609.6,556.3,6.84,8625.8,21.8504,2.365208809,381,2316,83.62
153.9,1219.2,1094.7,2.5,7505.7,22.0792,2.378798499,375,4555,236.86
153.7,1219.2,1092.2,3,8585.2,22.5456,2.406305762,376,4555,165.02
152.4,1219.2,1097.3,3.98,10759.4,24.6752,2.528775045,376,4555,159.02
